"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.sowerbysholidaycottages.co.uk/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/inspiration/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/page/2/","","",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/page/2/","","",""
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","1","Indexable","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
