"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/script[13]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/script[13]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/script[13]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/section/script[13]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/script[13]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/div[@class='wrap']/script[13]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/div[@class='wrap']/script[13]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","https://my.hellobar.com/.js","0","","","403","Forbidden","true","","","Absolute","//body/script[13]","Content","HTML"
