"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[11]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[11]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/section/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/div[@class='wrap']/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/div[@class='wrap']/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/div[@class='wrap']/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[11]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/div[3]/div/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/div[@class='wrap']/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[11]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[11]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/seasonal-guide-request/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/div[@class='wrap']/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/div[@class='wrap']/script[10]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
"JavaScript","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","https://secure.supercontrol.co.uk/components/embed.js","0","","","0","Blocked by robots.txt","true","","","Absolute","//body/script[14]","Content","HTML"
