"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTTP hreflang 1","HTTP hreflang 1 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/","Self catering holiday cottages in North Norfolk - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/","Norfolk holiday inspiration - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","Norfolk Holiday Cottages special offers | Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","Alphabetical List of Villages - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","Norfolk Luxury Collection holiday cottages - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","Owner testimonials - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","FAQs - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","Search Sowerby’s database of Norfolk Holiday Cottages","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","Search Sowerby’s database of Norfolk Holiday Cottages","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","Norfolk Sea views holiday cottages - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","Search Sowerby’s database of Norfolk Holiday Cottages","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","Bespoke management service - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","Norfolk Holiday Cottage to rent in Houghton Estate - Washmeres","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","Norfolk Electric Charging holiday cottages - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","Popular Norfolk holiday cottage villages and locations | Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","Meet the team - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","Norfolk Romantic break holiday cottages - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","Sowerbys Holiday Cottages | Contact Us","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","Norfolk Holiday Cottage to rent in Stanhoe - Little Barwick","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","Search Sowerby’s database of Norfolk Holiday Cottages","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","Norfolk Holiday Cottage to rent in Heacham - Violet","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","Blog - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","Things to do in Norfolk - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","Terms and Conditions - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","Request your free Homeowner's Guide - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/","About Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/","Norfolk Holiday Cottage to rent in Heacham - Beachside","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","Our Norfolk Estate Agents - Sowerbys Holiday Cottages","0","","","","","","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","Sowerbys Holiday Cottages | Norfolk events","0","","","","","","","Indexable",""
