"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.sowerbysholidaycottages.co.uk/","text/html; charset=UTF-8","200","OK","Indexable","","Self catering holiday cottages in North Norfolk - Sowerbys Holiday Cottages","75","669","Established local agency offering the finest holiday cottages in Norfolk. View our wide range of rental property. Book online at Sowerbys Holiday Cottages","154","946","","0","","0","","0","Find your Norfolk cottage","25","The Place You Deserve.","22","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/","","","","","","399937","45081","45081","17.270","","447","91","4.912","74.476","Fairly Easy","2.261","0","0","","706","350","0","99.150","50","39","0","2","2","0","","","","","e011a83fb2388d977c3053e639560e8e","1.022","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/","2026-05-08 14:17:02"
"https://www.sowerbysholidaycottages.co.uk/inspiration/","text/html; charset=UTF-8","200","OK","Indexable","","Norfolk holiday inspiration - Sowerbys Holiday Cottages","55","491","Get inspired for all the great things you could do while on holiday on the North Norfolk coast with Sowerbys Holiday Cottages","125","769","","0","Inspiration","11","","0","Featured Properties","19","Aster House","11","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/inspiration/","","","","","","141296","27117","27117","10.388","","505","80","6.312","78.637","Fairly Easy","2.561","1","1","","355","350","0","99.150","55","35","0","11","10","0","","","","","a7f55c7723a4efabababd8fe9781a0ef","0.532","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/inspiration/","2026-05-08 14:17:03"
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","text/html; charset=UTF-8","200","OK","Indexable","","Norfolk Holiday Cottages special offers | Sowerbys Holiday Cottages","67","606","Special offers on Norfolk Holiday Cottages. Click here for our best offers.","75","447","","0","Special offers","14","","0","Sybil Cottage","13","3 The Old School","16","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","","","","","","248472","28194","28194","10.801","","3529","849","4.157","100.000","Very Easy","7.785","1","2","","1058","350","0","99.150","179","74","0","2","2","0","","","","","95fd6fcf75b04e1616bd4dd572768ef4","1.423","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","2026-05-08 14:17:03"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","text/html; charset=UTF-8","200","OK","Indexable","","Alphabetical List of Villages - Sowerbys Holiday Cottages","57","507","","0","0","","0","Alphabetical List of Villages","29","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","","","","","","83079","17140","17140","6.566","","76","51","1.490","61.725","Normal","1.508","1","2","","355","350","0","99.150","68","60","0","2","2","0","","","","","b61144223aeac24a2eec369a956b54a","1.471","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","2026-05-08 14:17:04"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","text/html; charset=UTF-8","200","OK","Indexable","","Norfolk Luxury Collection holiday cottages - Sowerbys Holiday Cottages","70","633","Luxury Collection holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","137","856","","0","Luxury Collection","17","","0","Displaying 70 properties","24","1 Manor Farm Barns","18","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/page/2/","","","","","521441","40236","40236","15.414","","4159","1174","3.543","100.000","Very Easy","5.377","1","2","","356","350","0","99.150","248","99","0","2","2","0","","","","","701f0777fc08ffdb16730b3ac0b2d0f2","1.655","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","2026-05-08 14:17:03"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","text/html; charset=UTF-8","200","OK","Indexable","","Owner testimonials - Sowerbys Holiday Cottages","46","433","","0","0","","0","","0","","0","Owner testimonials","18","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","","","","","","74312","17156","17156","6.572","","214","33","6.485","72.958","Fairly Easy","2.689","1","2","","355","350","0","99.150","37","29","0","2","2","0","","","","","cb8b82899e25d033e8d2c9980c0b346e","2.135","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","2026-05-08 14:17:04"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","text/html; charset=UTF-8","200","OK","Indexable","","FAQs - Sowerbys Holiday Cottages","32","307","","0","0","","0","","0","","0","FAQs","4","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","","","","","","94277","20442","20442","7.831","","1284","143","8.979","75.038","Fairly Easy","8.582","1","2","","355","350","0","99.150","37","29","0","2","2","0","","","","","e79dca883ebb060620dde686ba270cd5","0.967","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","2026-05-08 14:17:05"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Search Sowerby’s database of Norfolk Holiday Cottages","53","495","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598","","0","","0","","0","Displaying 44 properties","24","1 Crarves","9","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","","","","","","1048221","49601","49601","19.001","","3902","1087","3.590","100.000","Very Easy","2.637","1","1","","8","3","0","0.850","347","75","0","2","2","0","","","","","c767bcb82482e6d7bb8d044bdc3b0aba","2.724","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","2026-05-08 14:17:05"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Search Sowerby’s database of Norfolk Holiday Cottages","53","495","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598","","0","","0","","0","Displaying 16 properties","24","6 Monteagle","11","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","","","","","","473729","33104","33104","12.682","","936","366","2.557","100.000","Very Easy","2.385","1","1","","8","3","0","0.850","151","47","0","2","2","0","","","","","c1f0683abce41bc58a2908575b5a9618","2.203","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","2026-05-08 14:17:06"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","text/html; charset=UTF-8","200","OK","Indexable","","Norfolk Sea views holiday cottages - Sowerbys Holiday Cottages","62","570","Sea views holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","129","810","","0","Sea views","9","","0","Displaying 71 properties","24","1 Knights Cottages","18","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/page/2/","","","","","508828","39930","39930","15.296","","4100","1166","3.516","100.000","Very Easy","5.365","1","2","","356","350","0","99.150","251","100","0","2","2","0","","","","","a8aabab12379eb65445a1cb5dcddffe6","2.578","","","","","en-GB","1.1","","","","","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","2026-05-08 14:17:06"
