"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","189181","","View properties on a map","200","OK","true","","","Absolute","//body/div[3]/div/div[@class='search-meta']/div/div[2]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","189181","","View properties on a map","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@class='search-meta']/div/div[2]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","189181","","Our Cottages","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4239']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","189181","","Locations","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4378']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","189181","","Inspiration","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4237']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","189181","","Owners","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4018']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","189181","","About","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4238']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","189181","Toggle advanced search","Advanced search","200","OK","true","","","Path-Relative","//body/div[@class='wrap']/div/main/div[1]/div/div/form/div[@class='advance-search']/div[@class='text-center']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","166963","","View properties on a map","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@class='search-meta']/div/div[2]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","166963","","Our Cottages","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4239']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","166963","","Locations","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4378']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","166963","","Inspiration","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4237']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","166963","","Owners","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4018']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","166963","","About","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4238']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","166963","Toggle advanced search","Advanced search","200","OK","true","","","Path-Relative","//body/div[@class='wrap']/div/main/div[1]/div/div/form/div[@class='advance-search']/div[@class='text-center']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","210888","","View properties on a map","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@class='search-meta']/div/div[2]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","210888","","Our Cottages","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4239']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","210888","","Locations","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4378']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","210888","","Inspiration","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4237']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","210888","","Owners","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4018']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","210888","","About","200","OK","true","","","Path-Relative","//body/header/nav/div/div[@id='navbarSupportedContent']/ul/li[@id='menu-item-4238']/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","210888","Toggle advanced search","Advanced search","200","OK","true","","","Path-Relative","//body/div[@class='wrap']/div/main/div[1]/div/div/form/div[@class='advance-search']/div[@class='text-center']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3401","20237","","Print","200","OK","true","","","Absolute","//body/main/div[@class='property-details-top']/div/div[2]/div[@class='cta-actions']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3401","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3401","20237","","Print Page Now","200","OK","true","","","Path-Relative","//body/div[@id='printTrigger']/p/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","334274","","View properties on a map","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@class='search-meta']/div/div[2]/a","Content","HTML"
