"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/","https://www.sowerbysholidaycottages.co.uk/wishlist","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/wishlist","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","169800","","","200","OK","true","","","Absolute","//body/div[3]/div/div[2]/div[@class='col-md-6'][1]/div/div[@class='thumbnail']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","92786","","","200","OK","true","","","Absolute","//body/div[3]/div/div[2]/div[@class='col-md-6'][2]/div/div[@class='thumbnail']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","248472","","","200","OK","true","","","Absolute","//body/div[3]/div/div[3]/div[@class='col-md-6'][1]/div/div[@class='thumbnail']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","90264","","","200","OK","true","","","Absolute","//body/div[3]/div/div[3]/div[@class='col-md-6'][2]/div/div[@class='thumbnail']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://www.sowerbysholidaycottages.co.uk/wishlist","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://www.sowerbysholidaycottages.co.uk/wishlist","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/wishlist","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://www.sowerbysholidaycottages.co.uk/wishlist","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[1]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[2]/a","Navigation","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","https://www.sowerbysholidaycottages.co.uk/wishlist","0","","","301","Moved Permanently","true","","","Absolute","//body/header/nav/div/div[@class='d-flex']/ul/li[1]/a","Navigation","HTML"
