"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.sowerbysholidaycottages.co.uk/","Indexable","","0","","706","350","0","99.150","50","39","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/inspiration/","Indexable","","1","","355","350","0","99.150","55","35","0","11","10","0"
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","Indexable","","1","","1058","350","0","99.150","179","74","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","Indexable","","1","","355","350","0","99.150","68","60","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","Indexable","","1","","356","350","0","99.150","248","99","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","Indexable","","1","","355","350","0","99.150","37","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","Indexable","","1","","355","350","0","99.150","37","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","Non-Indexable","Canonicalised","1","","8","3","0","0.850","347","75","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","Non-Indexable","Canonicalised","1","","8","3","0","0.850","151","47","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","Indexable","","1","","356","350","0","99.150","251","100","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","Non-Indexable","Canonicalised","1","","8","3","0","0.850","536","102","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","Indexable","","1","","355","350","0","99.150","37","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","Indexable","","1","","28","8","0","2.270","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","Indexable","","1","","356","350","0","99.150","137","62","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","Indexable","","1","","356","350","0","99.150","42","33","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","Indexable","","1","","355","350","0","99.150","37","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","Indexable","","1","","356","350","0","99.150","278","109","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","Indexable","","1","","634","350","0","99.150","37","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","Indexable","","1","","42","10","0","2.830","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","Non-Indexable","Canonicalised","1","","8","3","0","0.850","1628","258","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","Indexable","","1","","45","11","0","3.120","41","32","0","33","33","0"
"https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","Indexable","","1","","358","350","0","99.150","67","39","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","Indexable","","1","","358","350","0","99.150","47","39","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","Indexable","","1","","633","350","0","99.150","37","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","Indexable","","1","","355","350","0","99.150","37","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/","Indexable","","1","","356","350","0","99.150","38","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/","Indexable","","1","","15","5","0","1.420","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","Indexable","","1","","355","350","0","99.150","37","29","0","3","3","0"
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","Indexable","","1","","358","350","0","99.150","37","29","0","37","16","0"
"https://www.sowerbysholidaycottages.co.uk/seasonal-guide-request/","Indexable","","1","","8","4","0","1.130","37","30","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","Indexable","","1","","355","350","0","99.150","334","326","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","Indexable","","1","","355","350","0","99.150","42","34","0","7","7","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","Non-Indexable","Canonicalised","1","","357","350","0","99.150","214","55","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","Indexable","","1","","355","350","0","99.150","37","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","Indexable","","1","","356","350","0","99.150","719","256","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","Indexable","","1","","38","10","0","2.830","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","Indexable","","2","","33","7","0","1.980","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","Indexable","","2","","46","10","0","2.830","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","Indexable","","2","","46","10","0","2.830","41","32","0","34","34","0"
