"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/","1","Established local agency offering the finest holiday cottages in Norfolk. View our wide range of rental property. Book online at Sowerbys Holiday Cottages","154","946","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/","1","Get inspired for all the great things you could do while on holiday on the North Norfolk coast with Sowerbys Holiday Cottages","125","769","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","1","Special offers on Norfolk Holiday Cottages. Click here for our best offers.","75","447","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","0","","0","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","1","Luxury Collection holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","137","856","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","0","","0","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","0","","0","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","1","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","1","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","1","Sea views holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","129","810","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","1","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","0","","0","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","1","Washmeres is a holiday cottage to rent, located in Houghton Estate, Norfolk. The cottage sleeps 8.","98","605","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","1","Electric Charging holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","137","854","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","1","See our range of superb holiday cottages based coastal North Norfolk. We cover a large range of villages across Norfolk.","120","741","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","1","Our Sowerbys Holiday Team all live locally with a wealth of local knowledge to help get the most out of your stay.","114","692","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","1","Romantic break holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","134","847","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","1","Contact Sowerbys Holiday Cottages of Norfolk. Book the finest holiday cottages in coastal North Norfolk.","104","650","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","1","Little Barwick is a holiday cottage to rent, located in Stanhoe, Norfolk. The cottage sleeps 14.","96","570","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","1","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","1","Violet is a holiday cottage to rent, located in Heacham, Norfolk. The cottage sleeps 6.","87","521","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","1","Get the latest news and tips for holidaying in Norfolk from Sowerbys Holiday Cottages","85","530","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","0","","0","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","0","","0","0","Indexable",""
