"Address","Indexability","Indexability Status","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://www.sowerbysholidaycottages.co.uk/","Indexable","","","","","","https://www.sowerbysholidaycottages.co.uk/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/","Indexable","","","","","","https://www.sowerbysholidaycottages.co.uk/inspiration/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","Indexable","","","","","","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","Indexable","","","","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","Indexable","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/page/2/","","","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","Indexable","","","","","","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","Indexable","","","","","","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","Non-Indexable","Canonicalised","","","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","Non-Indexable","Canonicalised","","","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","Indexable","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/page/2/","","","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
