"Type","Source","Destination","Anchor Text","Alt Text","Path Type"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/","https://www.sowerbysholidaycottages.co.uk/","Our Cottages","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/","https://www.sowerbysholidaycottages.co.uk/","Locations","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/","https://www.sowerbysholidaycottages.co.uk/","Inspiration","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/","https://www.sowerbysholidaycottages.co.uk/","Owners","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/","https://www.sowerbysholidaycottages.co.uk/","About","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/","https://www.sowerbysholidaycottages.co.uk/","Advanced search","Toggle advanced search","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/","Our Cottages","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/","Locations","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/","Inspiration","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/","Owners","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/","About","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","Our Cottages","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","Locations","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","Inspiration","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","Owners","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","About","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","Our Cottages","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","Locations","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","Inspiration","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","Owners","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","About","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","Our Cottages","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","Locations","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","Inspiration","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","Owners","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","About","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","Advanced search","Toggle advanced search","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","Our Cottages","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","Locations","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","Inspiration","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","Owners","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","About","","Path-Relative"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","Our Cottages","","Path-Relative"
