"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.sowerbysholidaycottages.co.uk/","text/html; charset=UTF-8","200","OK","Indexable","","706","1.022","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/bootstrap.min.css?ver=6.9.4","text/css","200","OK","Indexable","","0","0.018","",""
"https://www.sowerbysholidaycottages.co.uk/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","Indexable","","0","0.058","",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/","text/html; charset=UTF-8","200","OK","Indexable","","355","0.532","",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","text/html; charset=UTF-8","200","OK","Indexable","","1058","1.423","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","text/html; charset=UTF-8","200","OK","Indexable","","355","1.471","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/local-rewards-filter.js?ver=1773842166","application/javascript","200","OK","Indexable","","0","0.019","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","text/html; charset=UTF-8","200","OK","Indexable","","356","1.655","",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","text/html; charset=UTF-8","200","OK","Indexable","","355","2.135","",""
"https://www.sowerbysholidaycottages.co.uk/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","application/javascript","200","OK","Indexable","","0","0.026","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.10.1","text/css","200","OK","Indexable","","0","0.061","",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","text/html; charset=UTF-8","200","OK","Indexable","","355","0.967","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","8","2.724","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","8","2.203","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.5","text/css","200","OK","Indexable","","0","0.017","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","text/html; charset=UTF-8","200","OK","Indexable","","356","2.578","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","8","3.252","",""
