"URL","Title","Character Length","Pixel Length","Description","Character Length","Pixel Length"
"https://www.sowerbysholidaycottages.co.uk/","Self catering holiday cottages in North Norfolk - Sowerbys Holiday Cottages","75","669","Established local agency offering the finest holiday cottages in Norfolk. View our wide range of rental property. Book online at Sowerbys Holiday Cottages","154","946"
"https://www.sowerbysholidaycottages.co.uk/inspiration/","Norfolk holiday inspiration - Sowerbys Holiday Cottages","55","491","Get inspired for all the great things you could do while on holiday on the North Norfolk coast with Sowerbys Holiday Cottages","125","769"
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","Norfolk Holiday Cottages special offers | Sowerbys Holiday Cottages","67","606","Special offers on Norfolk Holiday Cottages. Click here for our best offers.","75","447"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","Alphabetical List of Villages - Sowerbys Holiday Cottages","57","507","","0","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","Norfolk Luxury Collection holiday cottages - Sowerbys Holiday Cottages","70","633","Luxury Collection holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","137","856"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","Owner testimonials - Sowerbys Holiday Cottages","46","433","","0","0"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","FAQs - Sowerbys Holiday Cottages","32","307","","0","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","Search Sowerby’s database of Norfolk Holiday Cottages","53","495","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","Search Sowerby’s database of Norfolk Holiday Cottages","53","495","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","Norfolk Sea views holiday cottages - Sowerbys Holiday Cottages","62","570","Sea views holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","129","810"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","Search Sowerby’s database of Norfolk Holiday Cottages","53","495","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598"
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","Bespoke management service - Sowerbys Holiday Cottages","54","529","","0","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","Norfolk Holiday Cottage to rent in Houghton Estate - Washmeres","62","574","Washmeres is a holiday cottage to rent, located in Houghton Estate, Norfolk. The cottage sleeps 8.","98","605"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","Norfolk Electric Charging holiday cottages - Sowerbys Holiday Cottages","70","631","Electric Charging holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","137","854"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","Popular Norfolk holiday cottage villages and locations | Sowerbys Holiday Cottages","82","735","See our range of superb holiday cottages based coastal North Norfolk. We cover a large range of villages across Norfolk.","120","741"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","Meet the team - Sowerbys Holiday Cottages","41","391","Our Sowerbys Holiday Team all live locally with a wealth of local knowledge to help get the most out of your stay.","114","692"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","Norfolk Romantic break holiday cottages - Sowerbys Holiday Cottages","67","620","Romantic break holiday cottages in Norfolk from Sowerbys Holiday Cottages. A local independent agency from people who live in Norfolk.","134","847"
"https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","Sowerbys Holiday Cottages | Contact Us","38","356","Contact Sowerbys Holiday Cottages of Norfolk. Book the finest holiday cottages in coastal North Norfolk.","104","650"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","Norfolk Holiday Cottage to rent in Stanhoe - Little Barwick","59","513","Little Barwick is a holiday cottage to rent, located in Stanhoe, Norfolk. The cottage sleeps 14.","96","570"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","Search Sowerby’s database of Norfolk Holiday Cottages","53","495","Search our Properties. Sowerbys Holiday Cottages offering the finest holiday cottages in Norfolk.","97","598"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","Norfolk Holiday Cottage to rent in Heacham - Violet","51","456","Violet is a holiday cottage to rent, located in Heacham, Norfolk. The cottage sleeps 6.","87","521"
"https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","Blog - Sowerbys Holiday Cottages","32","298","Get the latest news and tips for holidaying in Norfolk from Sowerbys Holiday Cottages","85","530"
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","Things to do in Norfolk - Sowerbys Holiday Cottages","51","460","","0","0"
"https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","Terms and Conditions - Sowerbys Holiday Cottages","48","455","","0","0"
