"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.sowerbysholidaycottages.co.uk/","text/html; charset=UTF-8","200","OK","Indexable","","e011a83fb2388d977c3053e639560e8e","42","https://www.sowerbysholidaycottages.co.uk/","https://www.sowerbysholidaycottages.co.uk/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/bootstrap.min.css?ver=6.9.4","text/css","200","OK","Indexable","","","117","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/bootstrap.min.css?ver=6.9.4"
"https://www.sowerbysholidaycottages.co.uk/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","Indexable","","","95","","https://www.sowerbysholidaycottages.co.uk/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1"
"https://www.sowerbysholidaycottages.co.uk/inspiration/","text/html; charset=UTF-8","200","OK","Indexable","","a7f55c7723a4efabababd8fe9781a0ef","54","https://www.sowerbysholidaycottages.co.uk/inspiration/","https://www.sowerbysholidaycottages.co.uk/inspiration/"
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","text/html; charset=UTF-8","200","OK","Indexable","","95fd6fcf75b04e1616bd4dd572768ef4","93","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","text/html; charset=UTF-8","200","OK","Indexable","","b61144223aeac24a2eec369a956b54a","98","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/local-rewards-filter.js?ver=1773842166","application/javascript","200","OK","Indexable","","","127","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/local-rewards-filter.js?ver=1773842166"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","text/html; charset=UTF-8","200","OK","Indexable","","701f0777fc08ffdb16730b3ac0b2d0f2","93","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","text/html; charset=UTF-8","200","OK","Indexable","","cb8b82899e25d033e8d2c9980c0b346e","95","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/"
"https://www.sowerbysholidaycottages.co.uk/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","application/javascript","200","OK","Indexable","","","87","","https://www.sowerbysholidaycottages.co.uk/wp-includes/js/jquery/jquery.min.js?ver=3.7.1"
