hotel_name,instagram_handle,country,lists,followers,visible_like_posts_12mo,posts_90d,median_engagement_rate_pct,breakouts_12mo,score,rank,currently_tracked,recommendation,note
"Four Seasons Hotel George V, Paris",fsgeorgevparis,France,Forbes,461244,41,38,0.353,10,87.7,1,yes,keep,
Santa Caterina,hotel_santa_caterina,Italy,Gold List,213187,39,44,0.277,11,87.7,2,yes,keep,
Claridge's,claridgeshotel,United Kingdom,"Forbes, Gold List, World's 50 Best",532938,43,42,0.260,10,86.7,3,yes,keep,
The Sanctuary at Kiawah Island Golf Resort,kiawahresort,United States,Forbes,88518,41,41,0.576,11,86.3,4,yes,keep,
Le Bristol Paris,lebristolparis,France,"Forbes, Gold List, World's 50 Best",354046,43,43,0.202,13,86.0,5,yes,keep,
Ocean House,oceanhouseri,United States,Forbes,127083,38,40,0.301,11,84.4,6,yes,keep,
The Maybourne Riviera,themaybourneriviera,France,Forbes,166520,22,34,0.410,7,83.2,7,yes,keep,
Four Seasons Resort Maui at Wailea,fsmaui,United States,Forbes,198455,43,43,0.189,10,82.4,8,yes,keep,
The Broadmoor,thebroadmoor,United States,Forbes,88678,38,38,0.395,8,81.6,9,yes,keep,
The Taj Mahal Palace,tajmahalmumbai,India,World's 50 Best,218529,24,38,0.208,8,81.5,10,yes,keep,
Beaverbrook,beaverbrook,United Kingdom,Gold List,152493,36,41,0.230,9,81.0,11,yes,keep,
"Hotel das Cataratas, A Belmond Hotel, Iguassu Falls",belmondhoteldascataratas,Brazil,Forbes,271961,42,36,0.222,11,80.7,12,yes,keep,
Borgo Santo Pietro,borgosantopietro,Italy,Manual add,596946,40,34,0.317,7,80.3,13,yes,keep,
"Cipriani, A Belmond Hotel, Venice",belmondhotelcipriani,Italy,Forbes,127748,39,31,0.483,9,79.8,14,yes,keep,
Cheval Blanc Paris,chevalblancparis,France,"Forbes, World's 50 Best",226055,36,30,0.348,9,78.7,15,yes,keep,
"Carlton Cannes, a Regent Hotel",carltoncannes,France,Forbes,134272,31,30,0.695,11,78.5,16,yes,keep,
"Splendido, A Belmond Hotel, Portofino",belmondhotelsplendido,Italy,Gold List,289427,41,30,0.749,6,78.5,17,yes,keep,
Estelle Manor,estellemanor,United Kingdom,World's 50 Best,297724,39,33,0.187,11,78.2,18,yes,keep,
"Caiman, Pantanal",caimanpantanal,Brazil,Gold List,138204,39,34,0.349,7,77.6,19,yes,keep,
Hôtel de Paris Monte-Carlo,hoteldeparismc,Monaco,"Forbes, World's 50 Best",178064,38,38,0.228,5,77.6,20,yes,keep,
Castelfalfi,castelfalfi,Italy,"Forbes, Gold List",293521,37,24,0.312,12,77.3,21,yes,keep,
"Hotel de Russie, a Rocco Forte Hotel",hotelderussie,Italy,Forbes,136552,36,24,0.526,11,77.3,22,yes,keep,
"Copacabana Palace, A Belmond Hotel",belmondcopacabanapalace,Brazil,World's 50 Best,522252,41,32,0.138,15,77.0,23,yes,keep,
Wynn Las Vegas,wynnlasvegas,United States,Gold List,568779,49,55,0.078,14,77.0,24,yes,keep,
Okada Manila,okadamanila,Philippines,Forbes,92177,37,42,0.275,14,76.7,25,yes,keep,
Blackberry Farm,blackberryfarm,United States,Gold List,330430,43,43,0.112,8,75.7,26,yes,keep,
Hotel Plaza Athénée Paris,plaza_athenee,France,Forbes,1159822,27,20,0.405,8,75.6,27,yes,keep,
Fogo Island Inn,fogoislandinn,Canada,Gold List,107850,43,43,0.346,5,75.6,28,yes,keep,
The Ranch at Rock Creek,theranchatrockcreek,United States,Forbes,217092,29,34,0.183,7,75.5,29,yes,keep,
Hotel du Cap-Eden-Roc,hotelducapedenroc,France,Forbes,381257,41,39,0.397,7,75.1,30,yes,keep,
"Grand-Hôtel du Cap-Ferrat, A Four Seasons Hotel",fscapferrat,France,Forbes,205601,37,30,0.574,5,74.4,31,yes,keep,
"Las Ventanas al Paraíso, A Rosewood Resort",lasventanasalparaiso,Mexico,"Forbes, World's 50 Best",266924,43,48,0.081,10,74.0,32,yes,keep,
Çırağan Palace Kempinski Istanbul,cpkempinski,Turkey,Forbes,166649,43,43,0.230,5,73.9,33,yes,keep,
"Caruso, A Belmond Hotel, Amalfi Coast",belmondhotelcaruso,Italy,Forbes,196813,36,27,0.315,9,73.5,34,yes,keep,
"Le Royal Monceau, Raffles Paris",leroyalmonceau,France,Gold List,185694,38,41,0.118,9,73.2,35,yes,keep,
"Le Meurice, Dorchester Collection",lemeuriceparis,France,Forbes,1008748,38,28,0.165,10,72.9,36,yes,keep,
The Beverly Hills Hotel,bevhillshotel,United States,"Forbes, Gold List",349945,35,19,0.841,6,71.4,37,yes,keep,
Hotel Castello di Reschio,reschio,Italy,Gold List,1629952,42,39,0.102,14,70.8,38,yes,keep,
La Réserve Paris,lareserveparis,France,"Forbes, Gold List",151831,35,36,0.205,6,70.2,39,yes,keep,
Badrutt's Palace Hotel,badruttspalace,Switzerland,"Forbes, Gold List",182263,40,20,0.569,9,69.6,40,yes,keep,
La Mamounia,lamamouniamarrakech,Morocco,World's 50 Best,370669,38,39,0.112,7,69.0,41,yes,keep,
Six Senses Douro Valley,sixsensesdourovalley,Portugal,Gold List,168380,34,32,0.204,5,68.2,42,yes,keep,
Singita Kruger National Park,singita_,South Africa,World's 50 Best,483887,20,21,0.206,7,67.6,43,yes,keep,
The Savoy,thesavoylondon,United Kingdom,Forbes,241655,37,29,0.186,6,67.3,44,yes,keep,
Rockhouse Hotel & Spa,rockhousehotel,Jamaica,Gold List,132213,27,30,0.203,9,66.9,45,yes,keep,
Hotel Sacher Wien,sacherhotels,Austria,World's 50 Best,95501,32,24,0.527,7,66.9,46,yes,keep,
Four Seasons Resort Maldives at Kuda Huraa,fsmaldives,Maldives,Forbes,361102,37,37,0.150,4,66.6,47,yes,keep,
Gstaad Palace,gstaadpalace,Switzerland,Gold List,88960,39,30,0.504,5,65.5,48,yes,keep,
Four Seasons Hotel London at Park Lane,fslondon,United Kingdom,Forbes,150603,40,35,0.136,9,64.0,49,yes,keep,
"Patina Maldives, Fari Islands",patinamaldives,Maldives,Forbes,226186,28,30,0.106,7,64.0,50,yes,keep,
The Little Nell,thelittlenell,United States,Forbes,123931,23,40,0.140,4,63.9,51,yes,keep,
Four Seasons Hotel Firenze,fsflorence,Italy,"Forbes, Gold List, World's 50 Best",219082,39,29,0.696,3,63.6,52,yes,keep,
The Connaught,theconnaught,United Kingdom,"Forbes, Gold List, World's 50 Best",302046,25,32,0.269,3,63.3,53,yes,keep,
The Peninsula Hong Kong,peninsulahongkong,China,"Forbes, Gold List",88536,36,36,0.206,4,63.0,54,yes,keep,
Rosewood Miramar Beach,rosewoodmiramarbeach,United States,Forbes,159987,26,31,0.137,5,62.6,55,yes,keep,
Aman Tokyo,aman_tokyo,Japan,World's 50 Best,166732,34,15,0.852,6,62.5,56,yes,keep,
Rosewood Mayakoba,rwmayakoba,Mexico,Forbes,184172,37,38,0.066,5,62.2,57,yes,keep,
"Cap Juluca, A Belmond Hotel, Anguilla",belmondcapjuluca,Anguilla,Forbes,129847,32,43,0.310,2,62.2,58,yes,keep,
"The Ritz-Carlton, Grand Cayman",ritzcarltongrandcayman,Cayman Islands,Forbes,88767,33,24,0.270,7,61.8,59,yes,keep,
Ritz Paris,ritzparis,France,Forbes,990462,32,31,0.403,2,61.1,60,yes,keep,
Bvlgari Resort Bali,bvlgariresortbali,Indonesia,"Forbes, Gold List",83479,39,31,0.361,4,60.5,61,yes,keep,
La Posta Vecchia,lapostavecchiahotel,Italy,Gold List,87230,27,15,0.503,7,60.4,62,yes,keep,
"Mandarin Oriental, Bangkok",mo_bangkok,Thailand,"Forbes, Gold List, World's 50 Best",102418,22,26,0.352,6,60.2,63,yes,keep,
Amangiri,amangiri,United States,Gold List,646873,34,23,0.181,5,60.1,64,yes,keep,
Rosewood Hong Kong,rosewoodhongkong,China,World's 50 Best,95647,25,20,0.449,5,60.0,65,yes,keep,
Aman Kyoto,aman_kyoto,Japan,Gold List,103778,36,23,0.655,8,59.9,66,yes,keep,
The St. Regis New York,stregisnewyork,United States,Forbes,107615,33,21,0.223,7,59.8,67,yes,keep,
Rosewood São Paulo,rosewoodsaopaulo,Brazil,World's 50 Best,489245,34,17,0.101,9,59.8,68,yes,keep,
The Peninsula New York,thepeninsulanyc,United States,Forbes,83448,37,38,0.110,4,59.6,69,yes,keep,
Crockfords at Resorts World Genting,resortsworldgenting,Malaysia,Forbes,101958,74,74,0.037,7,58.2,70,yes,dead audience,"large following, implausibly low engagement — audience looks bought or dead"
Grand Velas Los Cabos,grandvelascabos,Mexico,Forbes,234992,42,43,0.044,4,57.7,71,yes,dead audience,"large following, implausibly low engagement — audience looks bought or dead"
"Mandarin Oriental Ritz, Madrid",mo_ritzmadrid,Spain,Forbes,89488,35,38,0.197,3,57.6,72,yes,keep,
"Esperanza, Auberge Collection",esperanzaauberge,Mexico,Forbes,116731,43,28,0.384,4,57.5,73,yes,keep,
Cheval Blanc St-Barth,chevalblancstbarth,St Barts,Forbes,92769,33,30,0.355,3,57.5,74,yes,keep,
JOALI Maldives,joalimaldives,Maldives,Forbes,242698,33,32,0.077,5,57.0,75,yes,keep,
The Newt in Somerset,thenewtinsomerset,United Kingdom,Manual add,379991,23,41,0.118,4,56.2,76,yes,keep,
Montage Palmetto Bluff,montagepalmettobluff,United States,Forbes,157934,31,23,0.155,7,56.1,77,yes,keep,
Wilderness Bisate Lodge,wearewilderness,Rwanda,Gold List,206729,33,32,0.274,2,56.0,78,yes,keep,
"Hôtel de Crillon, A Rosewood Hotel",rosewoodhoteldecrillon,France,"Forbes, World's 50 Best",241001,34,22,0.180,5,55.8,79,yes,keep,
"Airelles Gordes, La Bastide",airellesgordes,France,Forbes,139165,37,23,0.488,7,55.5,80,yes,keep,
Jumeirah Burj Al Arab,jumeirahburjalarab,United Arab Emirates,"Forbes, Gold List",1095585,32,8,0.167,8,55.4,81,yes,keep,
Gleneagles,thegleneagleshotel,United Kingdom,Manual add,189311,31,32,0.366,5,54.9,82,yes,keep,
The Dorchester,thedorchester,United Kingdom,Forbes,398795,27,28,0.101,4,54.8,83,yes,keep,
Park Hotel Vitznau,parkhotelvitznau,Switzerland,Forbes,113295,25,11,0.520,6,54.6,84,yes,keep,
The Berkeley,the_berkeley,United Kingdom,Forbes,201761,16,30,0.187,4,54.4,85,yes,keep,
"Mandarin Oriental, Lago di Como",mo_lagodicomo,Italy,Forbes,194371,18,16,0.349,4,54.3,86,yes,keep,
Chatham Bars Inn,chathambarsinn,United States,Forbes,89609,24,30,0.806,2,54.3,87,yes,keep,
"Mandarin Oriental, Bodrum",mo_bodrum,Turkey,Forbes,184142,18,32,0.118,4,54.2,88,yes,keep,
Baccarat Hotel New York,baccarathotels,United States,Forbes,146675,36,27,0.146,5,53.6,89,yes,keep,
Passalacqua,passalacqualakecomo,Italy,"Gold List, World's 50 Best",293584,32,16,0.425,3,53.5,90,yes,keep,
Cheval Blanc Randheli,chevalblancrandheli,Maldives,Forbes,117738,35,32,0.220,7,53.1,91,yes,keep,
The Cloister at Sea Island,seaisland,United States,Forbes,146186,30,32,0.397,1,52.6,92,yes,keep,
The Lodge at Sea Island,seaisland,United States,Forbes,146186,30,32,0.397,1,52.6,93,yes,keep,
