hotel_id,instagram_handle,hotel_name,root_domain,website,followers_count,er_median,posts_last_90d,ownership,hotels_sharing_domain,accreditations,sources,country,region
317,shangrilalondon,"Shangri-La The Shard, London",shangri-la.com,https://www.shangri-la.com/london/shangrila/,162757,0.057,27,group,4,Forbes Five-Star; Michelin One Key,Forbes,United Kingdom,Europe
228,mo_hydepark,"Mandarin Oriental, Hyde Park, London",mandarinoriental.com,https://www.mandarinoriental.com/en/london/hyde-park,111571,0.067,28,group,27,Forbes Five-Star; Michelin Three Keys,Forbes,United Kingdom,Europe
231,mo_milan,"Mandarin Oriental, Milan",mandarinoriental.com,https://www.mandarinoriental.com/en/milan/la-scala,101320,0.076,26,group,27,Forbes Five-Star,Forbes,Italy,Europe
176,jkplacecapri,J.K. Place Capri,jkplaces.com,https://www.jkplaces.com/jkcapri/,87572,0.089,14,group,2,Forbes Five-Star,Forbes,Italy,Europe
349,thedorchester,The Dorchester,dorchestercollection.com,https://www.dorchestercollection.com/london/the-dorchester,398795,0.093,28,group,9,Forbes Five-Star; Michelin Two Keys,Forbes,United Kingdom,Europe
151,reschio,Hotel Castello di Reschio,reschio.com,https://www.reschio.com/hotel,1629952,0.102,39,group,1,Condé Nast Gold List,Gold List,Italy,Europe
233,mo_paris,"Mandarin Oriental, Paris",mandarinoriental.com,https://www.mandarinoriental.com/en/paris/place-vendome,162834,0.104,34,group,27,Forbes Five-Star,Forbes,France,Europe
203,limewoodhotel,Lime Wood,limewoodhotel.co.uk,https://www.limewoodhotel.co.uk/,104135,0.107,49,independent,1,Condé Nast Gold List; Michelin Two Keys,Gold List,United Kingdom,Europe
375,thenewtinsomerset,The Newt in Somerset,thenewtinsomerset.com,https://thenewtinsomerset.com/,379991,0.115,41,independent,1,Michelin Three Keys,Manual add,United Kingdom,Europe
199,leroyalmonceau,"Le Royal Monceau, Raffles Paris",raffles.com,https://www.raffles.com/paris/,185694,0.118,41,group,6,Condé Nast Gold List,Gold List,France,Europe
106,fstowerbridge,Four Seasons Hotel London at Tower Bridge,fourseasons.com,https://www.fourseasons.com/towerbridge/,83493,0.131,44,group,44,Forbes Five-Star; Michelin One Key,Forbes,United Kingdom,Europe
