hotel_id,instagram_handle,hotel_name,root_domain,website,followers_count,er_median,posts_last_90d,ownership,hotels_sharing_domain,accreditations,sources,country,region,tracked
390,theprinceakatokilondon,The Prince Akatoki London,theprinceakatokilondon.com,https://www.theprinceakatokilondon.com/,14744,0.054,6,independent,1,Forbes Five-Star,Forbes,United Kingdom,Europe,no
272,panpacificlondon,Pan Pacific London,panpacific.com,https://www.panpacific.com/en/hotels-and-resorts/pp-london.html,60926,0.097,12,independent-deep-path,1,Forbes Five-Star,Forbes,United Kingdom,Europe,no
203,limewoodhotel,Lime Wood,limewoodhotel.co.uk,https://www.limewoodhotel.co.uk/,104135,0.107,49,independent,1,Condé Nast Gold List; Michelin Two Keys,Gold List,United Kingdom,Europe,yes
375,thenewtinsomerset,The Newt in Somerset,thenewtinsomerset.com,https://thenewtinsomerset.com/,379991,0.115,41,independent,1,Michelin Three Keys,Manual add,United Kingdom,Europe,yes
82,estellemanor,Estelle Manor,estellemanor.com,https://estellemanor.com/,297724,0.187,33,independent,1,World's 50 Best Hotels; Michelin One Key,World's 50 Best,United Kingdom,Europe,yes
414,thesavoylondon,The Savoy,thesavoylondon.com,https://www.thesavoylondon.com/,241655,0.189,29,independent,1,Forbes Five-Star; Michelin Three Keys,Forbes,United Kingdom,Europe,yes
24,beaverbrook,Beaverbrook,beaverbrook.co.uk,https://beaverbrook.co.uk,152493,0.230,41,independent,1,Condé Nast Gold List; Michelin Two Keys,Gold List,United Kingdom,Europe,yes
133,thegleneagleshotel,Gleneagles,gleneagles.com,https://gleneagles.com/,189311,0.344,32,independent,1,Michelin Three Keys,Manual add,United Kingdom,Europe,yes
351,egerton_house,The Egerton House Hotel,egertonhousehotel.com,https://egertonhousehotel.com/,11567,0.398,5,independent,1,Forbes Five-Star,Forbes,United Kingdom,Europe,no
353,thefifearms,The Fife Arms,thefifearms.com,https://thefifearms.com/,114459,0.418,29,independent,1,Condé Nast Gold List; Michelin Two Keys,Gold List,United Kingdom,Europe,yes
355,thegoring,The Goring,thegoring.com,https://www.thegoring.com/,114333,0.438,8,independent,1,Forbes Five-Star,Forbes,United Kingdom,Europe,yes
151,reschio,Hotel Castello di Reschio,reschio.com,https://www.reschio.com/hotel,1629952,0.102,39,independent-deep-path,1,Condé Nast Gold List,Gold List,Italy,Europe,yes
344,thechediandermatt,The Chedi Andermatt,thechediandermatt.com,https://www.thechediandermatt.com/,80167,0.113,8,independent,1,Forbes Five-Star,Forbes,Switzerland,Europe,no
134,granhotelingles,Gran Hotel Inglés,hiddenhotels.com,https://hiddenhotels.com/gran-hotel-ingles/en,21102,0.126,10,independent-deep-path,1,Condé Nast Gold List,Gold List,Spain,Europe,no
236,marbellaclubh,Marbella Club,marbellaclub.com,https://www.marbellaclub.com/,192577,0.145,38,independent,1,Condé Nast Gold List,Gold List,Spain,Europe,yes
202,lilyofthevalleyhotel,Lily of the Valley,lilyofthevalley.com,https://www.lilyofthevalley.com/,166561,0.176,39,independent,1,Condé Nast Gold List,Gold List,France,Europe,yes
201,lesrochesrouges,Les Roches Rouges,beaumier.com,https://www.beaumier.com/en/properties/les-roches-rouges-hotel/,107575,0.181,17,independent-deep-path,1,Condé Nast Gold List,Gold List,France,Europe,yes
136,grandhotelsonnet,Grand Hotel Son Net,sonnet.es,https://sonnet.es/,44083,0.192,10,independent,1,Condé Nast Gold List,Gold List,Spain,Europe,no
52,casaangelinalifestyle,Casa Angelina,casangelina.com,https://www.casangelina.com/,221447,0.192,30,independent,1,Forbes Five-Star,Forbes,Italy,Europe,yes
195,lareserveparis,La Réserve Paris,lareserve-paris.com,https://www.lareserve-paris.com/en/,151831,0.205,36,independent-deep-path,1,Forbes Five-Star; Condé Nast Gold List,"Forbes, Gold List",France,Europe,yes
88,forestis.dolomites,Forestis,forestis.it,https://www.forestis.it/en,395672,0.210,14,independent-deep-path,1,Condé Nast Gold List,Gold List,Italy,Europe,yes
2,theadaremanor,Adare Manor,adaremanor.com,https://www.adaremanor.com,188377,0.224,29,independent,1,Forbes Five-Star; Condé Nast Gold List; Michelin Three Keys,"Forbes, Gold List",Ireland,Europe,yes
