hotel_id,hotel_name,website,root_domain,country,region,instagram_handle,followers,posts_last_90d,posts_total,last_posted,accreditation_lists,gold_list_editions
203,Lime Wood,https://www.limewoodhotel.co.uk/,limewoodhotel.co.uk,United Kingdom,Europe,limewoodhotel,104135,49,49,2026-07-27,Gold List,"US 2025, UK 2025"
65,Claridge's,https://www.maybourne.com/en/hotels/claridges,maybourne.com,United Kingdom,Europe,claridgeshotel,532938,44,44,2026-07-24,"Forbes, Gold List, World's 50 Best","US 2026, UK 2026"
106,Four Seasons Hotel London at Tower Bridge,https://www.fourseasons.com/towerbridge/,fourseasons.com,United Kingdom,Europe,fstowerbridge,83493,44,44,2026-07-24,Forbes,
375,The Newt in Somerset,https://thenewtinsomerset.com/,thenewtinsomerset.com,United Kingdom,Europe,thenewtinsomerset,379991,41,42,2026-07-26,Manual add,
24,Beaverbrook,https://beaverbrook.co.uk,beaverbrook.co.uk,United Kingdom,Europe,beaverbrook,152493,41,41,2026-07-26,Gold List,"US 2026, UK 2026"
17,Ashford Castle,https://ashfordcastle.com,ashfordcastle.com,Ireland,Europe,ashfordcastle,147341,41,43,2026-07-24,Forbes,
105,Four Seasons Hotel London at Park Lane,https://www.fourseasons.com/london/,fourseasons.com,United Kingdom,Europe,fslondon,150603,35,45,2026-07-23,Forbes,
82,Estelle Manor,https://estellemanor.com/,estellemanor.com,United Kingdom,Europe,estellemanor,297724,34,39,2026-07-23,World's 50 Best,
347,The Connaught,https://www.maybourne.com/en/hotels/the-connaught,maybourne.com,United Kingdom,Europe,theconnaught,302046,33,34,2026-07-24,"Forbes, Gold List, World's 50 Best","US 2025, UK 2025"
133,Gleneagles,https://gleneagles.com/,gleneagles.com,United Kingdom,Europe,thegleneagleshotel,189311,32,35,2026-07-23,Manual add,
335,The Berkeley,https://www.maybourne.com/en/hotels/the-berkeley,maybourne.com,United Kingdom,Europe,the_berkeley,201761,31,34,2026-07-25,Forbes,
414,The Savoy,https://www.thesavoylondon.com/,thesavoylondon.com,United Kingdom,Europe,thesavoylondon,241655,30,37,2026-07-25,Forbes,
2,Adare Manor,https://www.adaremanor.com,adaremanor.com,Ireland,Europe,theadaremanor,188377,30,34,2026-07-26,"Forbes, Gold List","US 2025, UK 2025"
353,The Fife Arms,https://thefifearms.com/,thefifearms.com,United Kingdom,Europe,thefifearms,114459,30,34,2026-07-26,Gold List,"US 2025, UK 2025"
228,"Mandarin Oriental, Hyde Park, London",https://www.mandarinoriental.com/en/london/hyde-park,mandarinoriental.com,United Kingdom,Europe,mo_hydepark,111571,29,35,2026-07-25,Forbes,
349,The Dorchester,https://www.dorchestercollection.com/london/the-dorchester,dorchestercollection.com,United Kingdom,Europe,thedorchester,398795,28,33,2026-07-25,Forbes,
317,"Shangri-La The Shard, London",https://www.shangri-la.com/london/shangrila/,shangri-la.com,United Kingdom,Europe,shangrilalondon,162757,28,35,2026-07-26,Forbes,
69,"Coworth Park, Dorchester Collection",https://www.dorchestercollection.com/ascot/coworth-park,dorchestercollection.com,United Kingdom,Europe,coworthpark,101549,28,38,2026-07-25,Gold List,"US 2026, UK 2026"
284,Raffles London at The OWO,https://www.raffles.com/london/,raffles.com,United Kingdom,Europe,raffleslondon.theowo,83131,28,34,2026-07-19,"Forbes, World's 50 Best",
297,Rosewood London,https://www.rosewoodhotels.com/en/london,rosewoodhotels.com,United Kingdom,Europe,rosewoodlondon,184990,26,35,2026-07-24,Forbes,
355,The Goring,https://www.thegoring.com/,thegoring.com,United Kingdom,Europe,thegoring,114333,9,31,2026-07-17,Forbes,
